Country,1930Finish,1934Finish,1938Finish,1950Finish,1954Finish,1958Finish,1962Finish,1966Finish,1970Finish,1974Finish,1978Finish,1982Finish,1986Finish,1990Finish,1994Finish,1998Finish,2002Finish,2006Finish,2010Finish,2014Finish,GoalsScored,AllTimeRecord,HighestEverFinish,WorldCupWins,GoalsPerGame,GoalsConceded,GoalsConcededPerGame
Canada,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,0,0-3-0,Group Stage-1986,0,0.00,5,1.67
Denmark,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Quarterfinalists,Round of 16,Did Not Qualify,Group Stage,Did Not Qualify,27,8-6-2,Quarterfinalists-1998,0,1.69,24,1.50
Costa Rica,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Quarterfinalists,17,6-7-2,Quarterfinalists-2014,0,1.13,23,1.53
United Arab Emirates,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,2,0-3-0,Group Stage-1990,0,0.67,11,3.67
Republic of Ireland,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Quarterfinalists,Round of 16,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,10,3/3/2007,Quarterfinalists-1990,0,0.77,10,0.77
Russia,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,13,2-5-2,Group Stage-2014,0,1.44,13,1.44
Greece,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Round of 16,5,3-6-1,Round of 16-2014,0,0.50,20,2.00
Nigeria,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Round of 16,Group Stage,Did Not Qualify,Group Stage,Round of 16,20,5-10-3,Round of 16-2014,0,1.11,26,1.44
Saudi Arabia,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Group Stage,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,9,2-9-2,Round of 16-1994,0,0.69,32,2.46
South Africa,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,11,2-3-4,Group Stage-2010,0,1.22,16,1.78
